trade_num,side,exit_type,net_pnl,strike,expiry,spot_r,spot_p,bid_entry,ask_entry,mark_entry,delta_p,delta_r
237,Short put,ask,1004.42,78000.0,5DEC25,85473.0,85570.0,0.0135,0.0145,0.0141,0.2,0.15
238,Short put,ask,358.92,78000.0,5DEC25,86877.0,86974.0,0.0075,0.008,0.0078,0.139,0.15
239,Short put,ask,389.77,80000.0,5DEC25,87987.0,88073.0,0.007,0.0075,0.0073,0.144,0.15
240,Short put,ask,506.73,82000.0,12DEC25,91232.0,91385.0,0.0085,0.009,0.0089,0.149,0.15
241,Short put,ask,427.18,82000.0,12DEC25,91263.0,91426.0,0.0075,0.008,0.008,0.141,0.15
242,Short put,ask,375.71,82000.0,12DEC25,90592.0,90732.0,0.008,0.009,0.0085,0.151,0.15
243,Short put,ask,343.28,83000.0,12DEC25,90930.0,91100.0,0.0085,0.009,0.0088,0.161,0.15
244,Short put,ask,676.98,78000.0,12DEC25,86251.0,86292.0,0.009,0.0095,0.0092,0.157,0.15
245,Short put,ask,686.17,80000.0,12DEC25,87100.0,87199.0,0.009,0.0095,0.0093,0.172,0.15
246,Short put,ask,469.52,86000.0,12DEC25,93487.0,93587.0,0.007,0.0075,0.0071,0.152,0.15
247,Short put,ask,168.85,84000.0,19DEC25,93156.0,93322.0,0.0085,0.009,0.0088,0.15,0.15
248,Short put,ask,443.34,83000.0,19DEC25,92355.0,92456.0,0.0075,0.0085,0.008,0.141,0.15
249,Short put,ask,618.0,82000.0,19DEC25,89707.0,89788.0,0.0095,0.01,0.0097,0.172,0.15
250,Short put,ask,627.41,82000.0,19DEC25,89720.0,89776.0,0.0095,0.01,0.0097,0.172,0.15
251,Short put,ask,480.17,83000.0,19DEC25,91487.0,91609.0,0.0075,0.008,0.0077,0.146,0.15
252,Short put,ask,231.16,82000.0,19DEC25,90181.0,90239.0,0.0065,0.007,0.0068,0.139,0.15
253,Short call,ask,346.99,100000.0,26DEC25,90332.0,90427.0,0.0049,0.0055,0.0052,0.127,0.15
254,Short put,ask,-303.72,84000.0,26DEC25,92534.0,92673.0,0.0075,0.008,0.0077,0.147,0.15
255,Short put,ask,278.31,82000.0,26DEC25,90373.0,90455.0,0.0065,0.007,0.0068,0.137,0.15
256,Short put,ask,295.41,82000.0,26DEC25,90179.0,90257.0,0.0065,0.007,0.007,0.141,0.15
257,Short put,ask,343.32,82000.0,26DEC25,89765.0,89866.0,0.006,0.0065,0.0064,0.139,0.15
258,Short put,ask,543.39,80000.0,26DEC25,86494.0,86554.0,0.0075,0.0085,0.0081,0.169,0.15
259,Short put,ask,411.18,80000.0,26DEC25,86759.0,86815.0,0.0055,0.006,0.0058,0.139,0.15
260,Short call,ask,283.39,95000.0,2JAN26,86637.0,86744.0,0.006,0.007,0.0067,0.155,0.15
261,Short put,ask,557.61,80000.0,2JAN26,87417.0,87597.0,0.0085,0.0095,0.009,0.165,0.15
262,Short put,ask,330.94,80000.0,2JAN26,88283.0,88450.0,0.0055,0.006,0.0057,0.124,0.15
263,Short put,ask,305.03,80000.0,2JAN26,88081.0,88232.0,0.005,0.006,0.0055,0.122,0.15
264,Short put,ask,395.23,82000.0,2JAN26,88884.0,89048.0,0.006,0.0065,0.0063,0.145,0.15
265,Short put,ask,457.24,82000.0,2JAN26,87365.0,87477.0,0.007,0.0075,0.0074,0.179,0.15
266,Short put,ask,455.25,82000.0,2JAN26,86962.0,87072.0,0.006,0.0065,0.0063,0.173,0.15
267,Short put,ask,212.27,80000.0,9JAN26,87796.0,87981.0,0.006,0.007,0.0066,0.137,0.15
268,Short put,ask,268.92,82000.0,9JAN26,89064.0,89271.0,0.0065,0.0075,0.007,0.152,0.15
269,Short put,ask,300.58,80000.0,9JAN26,87451.0,87621.0,0.0049,0.0055,0.0051,0.123,0.15
270,Short put,ask,464.1,82000.0,9JAN26,87689.0,87883.0,0.007,0.008,0.0074,0.173,0.15
271,Short put,ask,372.39,83000.0,9JAN26,89715.0,89899.0,0.0055,0.006,0.0058,0.142,0.15
272,Short put,ask,335.95,80000.0,16JAN26,87571.0,87726.0,0.007,0.0075,0.0073,0.147,0.15
273,Short put,ask,386.54,82000.0,16JAN26,88862.0,89012.0,0.007,0.008,0.0074,0.158,0.15
274,Short put,ask,344.43,82000.0,16JAN26,89854.0,89962.0,0.0055,0.006,0.0058,0.13,0.15
275,Short put,ask,366.74,84000.0,16JAN26,91224.0,91343.0,0.0065,0.007,0.0069,0.151,0.15
276,Short put,ask,288.82,85000.0,16JAN26,92463.0,92605.0,0.0055,0.0065,0.0059,0.138,0.15
277,Short put,ask,322.6,87000.0,16JAN26,93770.0,93896.0,0.0055,0.006,0.0057,0.145,0.15
278,Short put,ask,501.7,84000.0,23JAN26,91041.0,91222.0,0.007,0.008,0.0075,0.158,0.15
279,Short put,ask,417.17,84000.0,23JAN26,90654.0,90834.0,0.0055,0.0065,0.006,0.145,0.15
280,Short put,ask,341.22,85000.0,23JAN26,91736.0,91886.0,0.0055,0.006,0.0059,0.145,0.15
281,Short put,ask,197.47,86000.0,23JAN26,92090.0,92247.0,0.005,0.006,0.0055,0.148,0.15
282,Short put,ask,360.0,82000.0,30JAN26,89566.0,89646.0,0.005,0.006,0.0055,0.129,0.15
283,Short call,ask,324.99,98000.0,6FEB26,90087.0,90287.0,0.0049,0.0055,0.0054,0.144,0.15
284,Short call,ask,449.81,80000.0,20FEB26,70816.0,70919.0,0.0075,0.008,0.008,0.148,0.15
285,Short call,ask,431.76,74000.0,20FEB26,64888.0,64896.0,0.009,0.01,0.01,0.161,0.15
286,Short call,ask,363.33,77000.0,20FEB26,68891.0,68738.0,0.0065,0.0075,0.0072,0.144,0.15
287,Short call,ask,344.81,77000.0,20FEB26,69302.0,69331.0,0.007,0.008,0.008,0.159,0.15
288,Short call,ask,375.87,78000.0,20FEB26,70613.0,70660.0,0.0065,0.007,0.007,0.153,0.15
289,Short call,ask,338.03,76000.0,20FEB26,68872.0,68888.0,0.006,0.0065,0.0065,0.15,0.15
290,Short call,ask,315.56,73000.0,20FEB26,66761.0,66736.0,0.0055,0.0065,0.0065,0.153,0.15
291,Short call,ask,221.21,75000.0,27FEB26,67038.0,67071.0,0.0065,0.007,0.0069,0.143,0.15
292,Short put,ask,239.42,58000.0,27FEB26,66323.0,66349.0,0.008,0.009,0.0085,0.128,0.15
293,Short put,ask,219.67,62000.0,27FEB26,68889.0,68859.0,0.009,0.01,0.0095,0.156,0.15
294,Short call,ask,406.68,76000.0,27FEB26,70377.0,70380.0,0.0075,0.008,0.008,0.185,0.15
295,Short call,ask,372.23,75000.0,27FEB26,68423.0,68469.0,0.0065,0.0075,0.007,0.159,0.15
296,Short call,ask,116.36,75000.0,6MAR26,67123.0,67148.0,0.0065,0.007,0.0068,0.142,0.15
297,Short put,ask,279.29,60000.0,6MAR26,67822.0,67867.0,0.009,0.01,0.0095,0.143,0.15
298,Short put,stop_loss,-1058.28,60000.0,6MAR26,67772.0,67829.0,0.0075,0.0085,0.008,0.131,0.15
299,Short put,ask,84.55,62000.0,6MAR26,68026.0,68032.0,0.01,0.011,0.0106,0.176,0.15
300,Short put,ask,307.47,58000.0,6MAR26,65733.0,65726.0,0.008,0.0085,0.0083,0.132,0.15
301,Short put,ask,437.95,60000.0,13MAR26,68141.0,68167.0,0.0095,0.0105,0.01,0.144,0.15
302,Short put,ask,397.74,60000.0,13MAR26,67654.0,67667.0,0.009,0.01,0.0095,0.145,0.15
303,Short put,ask,326.9,60000.0,13MAR26,66931.0,66935.0,0.01,0.011,0.0106,0.161,0.15
304,Short put,ask,281.61,58000.0,13MAR26,66207.0,66213.0,0.0075,0.008,0.008,0.125,0.15
305,Short put,ask,470.88,61000.0,13MAR26,68103.0,68106.0,0.0085,0.009,0.0086,0.145,0.15
306,Short put,ask,0.95,64000.0,20MAR26,72562.0,72646.0,0.0095,0.0105,0.01,0.144,0.15
307,Short put,ask,435.11,63000.0,20MAR26,70597.0,70658.0,0.0105,0.0115,0.0111,0.161,0.15
308,Short put,ask,454.66,60000.0,20MAR26,67693.0,67720.0,0.009,0.01,0.0096,0.146,0.15
309,Short put,ask,654.54,60000.0,20MAR26,67163.0,67176.0,0.0115,0.0125,0.012,0.168,0.15
310,Short put,ask,505.58,63000.0,20MAR26,69941.0,69960.0,0.0085,0.009,0.0086,0.15,0.15
311,Short put,ask,447.08,62000.0,27MAR26,69497.0,69562.0,0.0115,0.012,0.0117,0.165,0.15
312,Short put,ask,333.97,64000.0,27MAR26,71321.0,71407.0,0.011,0.0115,0.0113,0.166,0.15
313,Short put,ask,345.97,62000.0,27MAR26,70640.0,70683.0,0.0075,0.008,0.0078,0.124,0.15
314,Short put,ask,434.73,64000.0,3APR26,70588.0,70623.0,0.0135,0.014,0.0137,0.193,0.15
315,Short put,ask,202.08,64000.0,3APR26,70491.0,70544.0,0.0125,0.013,0.0127,0.187,0.15
316,Short put,ask,401.71,60000.0,3APR26,67857.0,67871.0,0.009,0.01,0.0096,0.144,0.15
317,Short put,ask,241.36,60000.0,10APR26,68622.0,68646.0,0.0075,0.0085,0.008,0.124,0.15
318,Short put,ask,582.81,60000.0,10APR26,66351.0,66361.0,0.011,0.0115,0.0113,0.175,0.15
