date,nav_open,nav_high,nav_low,nav_close,nav_close_realized,return_pct,drawdown_pct,active_slots,eod_slot
2026-03-07,140388.59152000002,140495.86977000002,140388.29277000003,140495.86977000002,140495.86977000002,40.4959,-0.0766,C,
2026-03-08,140495.86977000002,140495.86977000002,140495.86977000002,140495.86977000002,140495.86977000002,40.4959,-0.0,,
2026-03-09,140495.86977000002,141030.04569,139173.01569,140737.51469,140883.78069,40.7375,-1.3168,"A,B",A
2026-03-10,140737.51469,141437.81414,139893.31914,141718.77414,141437.81414,41.7188,-1.092,A,A
2026-03-11,141718.77414,142082.27004,141485.34504000001,142021.51404,141994.24504,42.0215,-0.4201,A,A
2026-03-12,142021.51404,142554.39419000002,140748.46419000003,142694.08419000002,142554.39419000002,42.6941,-1.2668,A,A
2026-03-13,142694.08419000002,143006.45074000003,140569.06824000002,143341.92274,142977.44824000003,43.3419,-1.7044,"A,C",C
2026-03-14,143341.92274,143400.11157000004,143313.25657000003,143400.11157000004,143400.11157000004,43.4001,-0.0606,C,
2026-03-15,143400.11157000004,143400.11157000004,143400.11157000004,143400.11157000004,143400.11157000004,43.4001,-0.0,,
2026-03-16,143400.11157000004,143803.27329000004,143059.05329000004,143231.54829000004,143517.41329000003,43.2315,-0.5175,"A,B",A
2026-03-17,143231.54829000004,144236.92264000003,140560.96264000004,143931.17364000005,144084.04764000003,43.9312,-2.5486,A,A
2026-03-18,143931.17364000005,144656.37624000004,143059.38124000005,144989.91924000005,144656.37624000004,44.9899,-1.104,A,A
2026-03-19,144989.91924000005,145391.79959000004,144904.84459000005,145166.37959000003,145231.57459000003,45.1664,-0.3349,A,A
2026-03-20,145166.37959000003,145812.68794000003,144924.55294000002,146160.59194,145812.64794000002,46.1606,-0.6091,"A,C",C
2026-03-21,146160.59194,146240.97779000003,146160.30579000004,146240.97779000003,146240.97779000003,46.241,-0.0552,C,
2026-03-22,146240.97779000003,146240.97779000003,146240.97779000003,146240.97779000003,146240.97779000003,46.241,-0.0,,
2026-03-23,146240.97779000003,146715.39634000004,145465.09434000004,146807.87284000005,146632.72134000005,46.8079,-0.8522,"A,B",A
2026-03-24,146807.87284000005,147809.8398400001,146711.16984000005,146635.20334000007,147217.05984000006,46.6352,-0.7433,A,A
2026-03-25,146635.20334000007,147906.11819000007,145901.74819000007,147861.50819000008,147805.89319000006,47.8615,-1.3552,A,A
2026-03-26,147861.50819000008,148161.88989000005,147510.89489000005,148312.06989000004,148161.07489000005,48.3121,-0.4394,A,A
2026-03-27,148312.06989000004,148780.70944000006,148162.45144000003,149117.62544000003,148757.68644000005,49.1176,-0.4155,"A,C",C
2026-03-28,149117.62544000003,149186.28379000004,149117.53379000004,149186.28379000004,149186.28379000004,49.1863,-0.0461,C,
2026-03-29,149186.28379000004,149186.28379000004,149186.28379000004,149186.28379000004,149186.28379000004,49.1863,-0.0,,
2026-03-30,149186.28379000004,149565.48784000005,148834.59284000006,149198.74784000008,149364.18784000006,49.1987,-0.4887,"A,B",A
2026-03-31,149198.74784000008,149903.76009000005,145265.99509000004,150217.12259000004,149903.76009000005,50.2171,-3.0938,A,A
2026-04-01,150217.12259000004,150507.83994000003,149828.49994000004,150606.76494000005,150507.78994000005,50.6068,-0.4514,A,A
2026-04-02,150606.76494000005,151145.69344000006,149911.97344000003,151081.27844000005,151113.48844000004,51.0813,-0.8162,A,A
2026-04-03,151081.27844000005,151389.37937000004,150736.89437000005,151714.10187000004,151389.37937000004,51.7141,-0.431,"A,C",C
2026-04-04,151714.10187000004,151714.09793500003,151714.09793500003,151714.09793500003,151714.09793500003,51.7141,-0.0,C,
2026-04-05,151714.09793500003,151714.09793500003,151714.09793500003,151714.09793500003,151714.09793500003,51.7141,-0.0,,
2026-04-06,151714.09793500003,152378.96938000002,150928.22438000003,151287.30438000005,151833.13438000003,51.2873,-0.9521,"A,B",A
2026-04-07,151287.30438000005,152201.75083000003,151091.59083000003,152201.75083000003,152201.75083000003,52.2018,-0.8449,A,
2026-04-08,152201.75083000003,152201.84583000003,151684.04083000004,152366.09883000003,152201.75083000003,52.3661,-0.4561,A,A
2026-04-09,152366.09883000003,152714.52785,152201.38785000003,152430.12035000004,152572.32285000003,52.4301,-0.336,A,A
